Dates,3K1.SG,AKAM,BABA,BNFT,BOX,CONE,COR,COUP,CSOD,DBX,DLR,EVBG,FOO.BE,GOOG,IBM,LOGM,MIME,MSFT,NFLX,PAYC,PCTY,PFPT,PLAN,QLYS,QTS,RP,SHOP,SPSC,TWLO,TWOU,VNET,WDAY,WK,XRX,ZS,,Return,Volatility,Sharpe.Ratio
2018-07-23,0,0,0,0,0,0.04158,0.17857,0.00741,0,0,0.08166,0.14119,0.13143,0,0,0,0.05072,0.04577,0.08533,0.06789,0,0,,0,0,0,0.07554,0,0,0.06087,0,0,0,0,0.03204,,0.364665309725931,0.148769960001832,2.31676683734866
2018-07-30,0,0,0,0,0,0.04007,0.18188,0.00365,0,0,0.12621,0.12729,0.13366,0,0,0,0.04485,0.05042,0.08805,0.07593,0,0,,0,0,0,0.06838,0,0,0.0596,0,0,0,0,0,,0.358673711930873,0.152770303903126,2.21688183683676
2018-08-06,0,0,0,0,0,0.05571,0.17023,0.00177,0,0,0.11384,0.13765,0.13774,0,0,0,0.04488,0.04381,0.08441,0.08855,0,0,,0,0,0,0.06269,0,0.01143,0.04729,0,0,0,0,0,,0.368378095475178,0.152422272162576,2.28561148270768
2018-08-13,0,0,0,0,0,0.05587,0.16109,0.01037,0,0,0.11163,0.1563,0.13701,0,0,0,0.04188,0.04422,0.07821,0.08844,0,0,,0,0,0,0.0609,0,0.00894,0.04512,0,0,0,0,0,,0.366421136319353,0.150638896796084,2.29967919101462
2018-08-20,0,0,0,0,0,0.0661,0.16152,0.0099,0,0,0.11059,0.1661,0.13561,0,0,0,0.04061,0.0276,0.07767,0.0903,0,0,,0,0,0,0.05366,0,0.00727,0.05073,0,0,0,0,0.00234,,0.368312129214559,0.15012931315273,2.32008074838931
2018-08-27,0,0,0,0,0,0.05605,0.15144,0.00933,0,0,0.10685,0.14915,0.13069,0,0,0,0.04232,0.03123,0.07642,0.08576,0,0,,0,0,0,0.05194,0,0.00754,0.04912,0,0,0,0,0.05215,,0.360783404383359,0.144099073535978,2.36492432616698
2018-09-03,0,0,0,0,0,0.04837,0.14895,0.01002,0,0,0.11033,0.16255,0.13363,0,0,0,0.04017,0.03371,0.0747,0.08573,0,0,,0,0,0,0.05077,0,0.01279,0.05156,0,0,0.00638,0,0.03033,,0.366407209341002,0.145618316814902,2.37887112636611
2018-09-10,0,0,0,0,0,0.06131,0.14476,0.03609,0,0,0.10559,0.15962,0.13014,0,0,0,0.03959,0.02822,0.07159,0.08635,0,0,,0,0,0,0.05054,0,0.00723,0.0463,0,0,0.01023,0,0.02243,,0.362006453731234,0.14476016373088,2.36257299602844
2018-09-17,0,0,0,0,0,0.06821,0.15157,0.03431,0,0,0.10622,0.15487,0.13513,0,0,0,0.03819,0.0356,0.0753,0.09005,0,0,,0,0,0,0.06074,0,0.0092,0.0406,0,0,0,0,0,,0.370241486204919,0.148919119452428,2.35189066046555
2018-09-24,0,0,0,0,0,0.0628,0.14214,0.03801,0,0,0.0845,0.14567,0.13896,0,0,0,0.04097,0.04522,0.07603,0.08897,0,0,,0,0,0,0.05969,0,0.00916,0.03775,0,0,0.01337,0,0.01675,,0.360698032521905,0.146863960512031,2.31982054231743
2018-10-01,0,0,0,0,0,0.05633,0.16451,0.03052,0,0,0.07486,0.14371,0.15037,0,0,0,0.02938,0.06055,0.08459,0.08823,0,0,,0,0,0,0.06404,0,0.00438,0.03623,0,0,0.0123,0,0,,0.361832681642901,0.150164121644466,2.27639384094848
2018-10-08,0,0,0,0,0,0.06085,0.15739,0.01089,0,0,0.09676,0.14967,0.14665,0,0,0,0.02257,0.06648,0.087,0.09012,0,0,,0,0,0,0.06349,0,0.0039,0.04161,0,0,0.00261,0,0,,0.35165958297683,0.151603088407526,2.18768355223274
2018-10-15,0,0,0,0,0,0.05662,0.16719,0.00089,0,0,0.09817,0.12757,0.14816,0,0,0,0.0371,0.05926,0.08611,0.09712,0,0,0,0,0,0,0.06909,0,0.00605,0.04087,0,0,0.00581,0,0,,0.353568304280341,0.156836484472483,2.12685399957984
2018-10-22,0,0,0,0,0,0.06019,0.16319,0,0,0,0.11779,0.12916,0.15176,0,0,0,0.03608,0.05546,0.08446,0.09998,0,0,0,0,0,0,0.06471,0,0,0.03722,0,0,0,0,0,,0.347245421678591,0.156135342328289,2.0959086956144
2018-10-29,0,0,0,0,0,0.02895,0.15359,0,0,0,0.12504,0.13221,0.15871,0,0,0,0.02922,0.06249,0.07539,0.1125,0,0,0,0,0,0,0.07075,0,0.00089,0.0385,0,0,0.01175,0,0,,0.333552821622586,0.158791963242809,1.97461392389948
2018-11-05,0,0,0,0,0,0.02293,0.15631,0,0,0,0.14068,0.13634,0.15724,0,0,0,0.02925,0.06784,0.07741,0.10312,0,0,0,0,0,0,0.07224,0,0,0.0232,0,0,0.01343,0,0,,0.336436207486547,0.15710478349474,2.0141729643588
2018-11-12,0,0,0,0,0,0.01519,0.16198,0,0,0,0.15769,0.10437,0.1576,0,0,0,0.03329,0.06855,0.07353,0.11139,0,0,0,0,0,0,0.07468,0,0.01339,0.02373,0,0,0.00462,0,0,,0.334341956772096,0.159431014250094,1.97164873002061
2018-11-19,0,0,0,0,0,0.01291,0.17459,0,0,0,0.1639,0.06726,0.14298,0,0,0,0.04742,0.06814,0.07476,0.11446,0,0,0,0,0,0,0.08508,0,0.00538,0.0296,0,0,0.01352,0,0,,0.324744146943024,0.164105987460454,1.85699590648062
2018-11-26,0,0,0,0,0,0.02162,0.15852,0,0,0,0.1658,0.08195,0.14837,0,0,0,0.04134,0.0729,0.06721,0.11252,0,0,0,0,0,0,0.08238,0,0.01109,0.02677,0,0,0.00953,0,0,,0.331166518643784,0.162752677410909,1.91189800127323
2018-12-03,0,0,0,0,0,0.03559,0.15183,0,0,0,0.16333,0.08755,0.1562,0,0,0,0.03744,0.06229,0.06522,0.11696,0,0,0,0,0,0,0.08256,0,0.00946,0.02914,0,0,0.00243,0,0,,0.341771000680872,0.165301553365235,1.94656973349741
2018-12-10,0,0,0,0,0,0.04092,0.15279,0,0,0,0.16974,0.09053,0.15127,0,0,0,0.03325,0.0569,0.05932,0.11675,0,0,0,0,0,0,0.08385,0,0.0104,0.03343,0,0,0.00086,0,0,,0.341944213084483,0.165446560067483,1.94591058861041
2018-12-17,0,0,0,0,0,0.05813,0.14656,0,0,0,0.1479,0.10236,0.15607,0,0,0,0.02716,0.04883,0.07269,0.122,0,0,0,0,0,0,0.07628,0,0.00567,0.02736,0,0,0.009,0,0,,0.332043331166751,0.167591079546944,1.86193281892038
2018-12-24,0,0,0,0,0,0.04358,0.12571,0,0,0,0.17796,0.08737,0.16903,0,0,0,0.03528,0.03789,0.07218,0.13591,0,0,0,0,0,0,0.08382,0,0.00349,0.02159,0,0,0.00619,0,0,,0.315800750861799,0.171201898746007,1.72778896162037
